time,value
42951,1.368106365
43138,1.148923397
43231,1.769296169
43234,0.93788594
43296,1.68777287
43554,1.140179396
43611,0.916180789
43777,0.980735004
43880,1.247419
44180,1.074409366
44255,1.379204035
44283,1.202386856
44349,1.187739015
44363,1.040570498
44413,1.230079055
44463,1.424872875
44472,1.162480831
44484,1.095325708
44522,1.078653932
44624,1.718582869
44711,1.250869036
44724,1.499941707
44730,1.683567286
44761,1.622980833
44976,1.079558849
45014,1.433490634
45045,1.559770107
45385,1.008266449
45427,1.658721566
45530,1.265236974
45571,1.11681056
45757,0.877462149
46274,0.971644163
46492,1.201862335
46504,1.169932008
46610,1.787057877
46722,1.251491666
46874,1.059075832
46890,1.253166556
46910,1.507740736
47017,1.013602614
47046,0.93370682
47063,1.345542192
47067,1.618019223
47083,1.087186694
47112,1.201341271
47159,1.02177465
47178,1.599625587
47304,1.166327238
47348,0.948469579
47459,12.06896305
47546,1.460457087
47611,1.388116121
47625,1.117032886
47777,1.014680624
47999,1.123902559
48189,1.025915623
48198,1.068542838
48247,1.024794102
48385,1.024027228
48510,1.087415099
48635,1.320558548
48696,1.032021523
48717,1.701605797
48843,0.975933969
49093,1.224967241
49165,1.141502023
49201,1.069975734
49268,1.183080196
49314,1.317981601
49361,1.116693139
49483,0.865797818
49527,1.663524985
49691,1.353383541
49702,0.964929998
49752,1.097687483
49853,1.136301994
49864,1.054386973
49961,1.105803013
49975,1.165001273
50010,1.206856132
50261,1.325312495
50322,1.225379229
50440,1.364486575
50505,1.051576138
50598,1.13737905
50603,1.689629555
50639,1.278937101
50697,1.016414642
50752,1.060875058
50761,1.048214436
50819,0.998174131
50899,1.159354687
51094,1.330560684
51468,1.227056623
51600,1.043645144
51797,1.032203317
51930,1.015393019
51936,0.919931233
51950,1.396858931
51971,1.296405315
52013,1.079330206
52229,1.175005913
52263,1.907186389
52352,0.961067557
52364,1.086929202
52399,1.160757065
52539,1.437482476
52547,1.197462201
52641,1.202078104
52666,1.595203042
52967,1.019143701
53082,1.194675922
53254,1.025432348
53623,1.215828657
53810,1.194656968
53982,0.967761099
54041,0.883654177
54147,1.121505737
54458,1.225551009
54588,1.718042374
54592,1.166854382
54605,0.971222639
54766,2.080601692
55065,1.139155746
55079,1.167273521
55120,1.574149847
55148,1.447136283
55157,0.989047468
55261,1.111671805
55367,1.014339924
55499,1.359865665
